p60f,gouv,_20_29,_30_39,_40_49,_50_59,p60,_20_29m,_30_39m,_40_49m,_50_59m,p60m,_20_29f,_30_39f,_40_49f,_50_59f
69235,تونس,184272,174502,148151,128170,131996,92117,86029,73522,64349,62762,92155,88472,74629,63821
27603,أريانة,101266,101923,77330,62481,57095,49653,50740,39098,31941,29490,51614,51184,38232,30540
31874,بن عروس,107188,104998,87891,75443,64431,52574,50876,43395,38460,32560,54613,54121,44495,36983
20671,منوبة,65872,64137,50936,43769,41430,33131,31951,25653,21956,20759,32741,32186,25283,21813
45596,نابل,129207,124982,108371,85567,89300,65265,61825,54887,43953,43702,63942,63157,53483,41614
9578,زغوان,30085,29731,22640,17676,18951,14537,14396,11158,8879,9373,15548,15335,11482,8797
35554,بنزرت,91450,86824,76564,64425,70340,45367,42873,38060,33089,34786,46083,43951,38504,31336
22328,باجة,44921,45399,41628,36186,43957,22531,22237,20150,17931,21632,22389,23161,21477,18255
30546,جندوبة,59588,56465,54089,48443,60136,28785,26367,25184,23335,29590,30803,30098,28905,25108
19951,الكاف,36537,32904,33886,29810,37768,18787,15837,16286,14677,17813,17750,17067,17600,15133
16242,سليانة,33074,32551,28155,24062,31329,15944,15524,13412,11647,15087,17129,17026,14742,12414
33505,سوسة,125536,110099,84292,68482,64561,62222,53752,42450,34446,31053,63314,56347,41843,34037
26353,المنستير,103370,81923,66376,53857,49720,50404,39767,33603,27529,23367,52966,42156,32773,26328
24546,المهدية,69164,59606,49031,39505,46225,33198,27350,23205,18705,21681,35966,32256,25825,20800
55098,صفاقس,166345,148599,124559,104090,108536,82844,72720,62054,53135,53440,83501,75879,62506,50955
33902,القيروان,92050,85550,68159,53155,65512,44092,40552,32307,25384,31617,47957,44997,35851,27770
22196,القصرين,79670,66799,50050,37362,43508,39032,32130,24311,18440,21312,40638,34669,25739,18922
23090,سيدي بوزيد,79286,68085,51132,38675,46369,39397,32837,24592,18875,23281,39889,35248,26540,19800
21425,قابس,68006,57738,46914,38248,42272,32246,26732,22501,19271,20850,35760,31006,24413,18977
27384,مدنين,82391,78566,59300,44999,54839,38273,35766,29009,21987,27457,44117,42799,30291,23012
8625,تطاوين,28658,23274,16281,13239,17023,12798,10131,7430,6314,8398,15860,13143,8851,6925
17888,قفصة,60524,54313,43138,34992,36399,28904,25906,21054,17777,18511,31620,28407,22084,17215
5532,توزر,18413,17129,14161,11252,10696,8897,8124,6888,5699,5164,9516,9005,7273,5553
8671,قبلي,29055,26364,19266,14156,17245,14002,12582,9470,7043,8574,15054,13781,9796,7113
