name_ar,_15-19,_20-29,_30-39,_40-49,_50-59,p60,_15-19m,_20-29m,_30-39m,_40-49m,_50-59m,p60m,_15-19f,_20-29f,_30-39f,_40-49f,_50-59f,p60f
تونس,70503,184272,174502,148151,128170,131996,36310,92117,86029,73522,64349,62762,34193,92155,88472,74629,63821,69235
أريانة,39280,101266,101923,77330,62481,57095,20128,49653,50740,39098,31941,29490,19152,51614,51184,38232,30540,27603
بن عروس,44293,107188,104998,87891,75443,64431,22699,52574,50876,43395,38460,32560,21594,54613,54121,44495,36983,31874
منوبة,26661,65872,64137,50936,43769,41430,13701,33131,31951,25653,21956,20759,12960,32741,32186,25283,21813,20671
نابل,58980,129207,124982,108371,85567,89300,30365,65265,61825,54887,43953,43702,28616,63942,63157,53483,41614,45596
زغوان,13266,30085,29731,22640,17676,18951,6804,14537,14396,11158,8879,9373,6462,15548,15335,11482,8797,9578
بنزرت,43686,91450,86824,76564,64425,70340,22346,45367,42873,38060,33089,34786,21340,46083,43951,38504,31336,35554
باجة,22826,44921,45399,41628,36186,43957,11634,22531,22237,20150,17931,21632,11192,22389,23161,21477,18255,22328
جندوبة,33106,59588,56465,54089,48443,60136,16645,28785,26367,25184,23335,29590,16461,30803,30098,28905,25108,30546
الكاف,19660,36537,32904,33886,29810,37768,9985,18787,15837,16286,14677,17813,9676,17750,17067,17600,15133,19951
سليانة,18537,33074,32551,28155,24062,31329,9182,15944,15524,13412,11647,15087,9356,17129,17026,14742,12414,16242
سوسة,52609,125536,110099,84292,68482,64561,27059,62222,53752,42450,34446,31053,25550,63314,56347,41843,34037,33505
المنستير,48005,103370,81923,66376,53857,49720,24188,50404,39767,33603,27529,23367,23817,52966,42156,32773,26328,26353
المهدية,34401,69164,59606,49031,39505,46225,17202,33198,27350,23205,18705,21681,17199,35966,32256,25825,20800,24546
صفاقس,72557,166345,148599,124559,104090,108536,37216,82844,72720,62054,53135,53440,35340,83501,75879,62506,50955,55098
القيروان,49673,92050,85550,68159,53155,65512,25085,44092,40552,32307,25384,31617,24587,47957,44997,35851,27770,33902
القصرين,40671,79670,66799,50050,37362,43508,20464,39032,32130,24311,18440,21312,20207,40638,34669,25739,18922,22196
سيدي بوزيد,36385,79286,68085,51132,38675,46369,18529,39397,32837,24592,18875,23281,17856,39889,35248,26540,19800,23090
قابس,29918,68006,57738,46914,38248,42272,15123,32246,26732,22501,19271,20850,14794,35760,31006,24413,18977,21425
مدنين,38027,82391,78566,59300,44999,54839,19253,38273,35766,29009,21987,27457,18774,44117,42799,30291,23012,27384
تطاوين,13674,28658,23274,16281,13239,17023,6729,12798,10131,7430,6314,8398,6945,15860,13143,8851,6925,8625
قفصة,26455,60524,54313,43138,34992,36399,12889,28904,25906,21054,17777,18511,13566,31620,28407,22084,17215,17888
توزر,8508,18413,17129,14161,11252,10696,4252,8897,8124,6888,5699,5164,4256,9516,9005,7273,5553,5532
قبلي,12176,29055,26364,19266,14156,17245,6184,14002,12582,9470,7043,8574,5992,15054,13781,9796,7113,8671
