registration_gov_gouv_en,registration_gov_gouv_ar,registration_gov_f_p51,registration_gov_m_p51,registration_gov_f_36_50,registration_gov_m_36_50,registration_gov_f_25_35,registration_gov_m_25_35,registration_gov_f_22_24,registration_gov_m_22_24,registration_gov_f_18_21,registration_gov_m_18_21,allreg_female_sum,allreg_male_sum,allreg_sum
Ariana,أريانة,42728,51796,39544,43155,33574,29405,6405,5337,3885,3370,126136,133063,259199
Beja,باجة,26846,35297,20253,22771,16019,14641,3936,3188,2375,1995,69429,77892,147321
Ben Arous,بن عروس,53445,64122,46074,48611,38333,34260,7748,6854,4445,4298,150045,158145,308190
Bizerte,بنزرت,44293,59402,37210,40654,31032,26890,6835,5258,4077,3253,123447,135457,258904
Gabes,قابس,30753,37947,29735,28448,28247,22702,5340,4485,3061,2633,97136,96215,193351
Gafsa,قفصة,25963,33782,25355,28635,24728,24446,4997,5011,2712,3084,83755,94958,178713
Jendouba,جندوبة,33245,45999,24542,27960,21413,19670,5179,4241,3458,3241,87837,101111,188948
Kairouan,القيروان,35862,51202,35085,43096,29933,31190,6809,7219,3932,4008,111621,136715,248336
Kasserine,القصرين,29848,38687,30931,34733,31465,32701,7733,8465,5426,6779,105403,121365,226768
Kebili,قبلي,13968,14943,14697,13376,14979,12145,2942,2373,1913,1659,48499,44496,92995
Le Kef,الكاف,25127,29705,17089,18419,13701,12740,3244,2770,1851,1673,61012,65307,126319
Mahdia,المهدية,26484,36721,25409,29650,23421,23157,5230,4880,3374,2798,83918,97206,181124
Manouba,منوبة,30567,38030,26335,28663,23063,20230,4691,4097,2642,2682,87298,93702,181000
Medenine,مدنين,28571,45050,32326,37141,29625,25780,5499,5029,3231,3130,99252,116130,215382
Monastir,المنستير,38460,48110,40334,43195,39186,34851,8762,7525,5244,4507,131986,138188,270174
Nabeul,نابل,61574,80102,59135,66574,50342,48560,11068,9672,7171,6465,189290,211373,400663
Sfax,صفاقس,72579,100808,66672,80164,58188,60979,12350,12661,7476,8105,217265,262717,479982
Sidi Bouzid,سيدي بوزيد,31082,42076,34204,37575,32944,33300,7752,8032,5494,6416,111476,127399,238875
Siliana,سليانة,17989,24842,14667,17620,12593,12471,2948,2634,1733,1633,49930,59200,109130
Sousse,سوسة,45954,58605,46459,52343,41898,39252,8432,7726,4064,4214,146807,162140,308947
Tataouine,تطاوين,8410,13033,9270,9973,10471,9095,1919,1804,906,826,30976,34731,65707
Tozeur,توزر,10484,10686,10591,9769,9986,9034,2387,2361,1961,2047,35409,33897,69306
Tunis,تونس,105400,112304,80462,81125,64986,57048,12694,10945,6743,6574,270285,267996,538281
Zaghouan,زغوان,13269,17778,13324,15233,11477,10947,2724,2206,1754,1522,42548,47686,90234
